market_hash_name,sell_listings,price_text,type
Tec-9 | Blue Blast (Field-Tested),57247,$0.03,Consumer Grade Pistol
M4A1-S | Wash me plz (Field-Tested),21506,$0.08,Industrial Grade Rifle
SCAR-20 | Zinc (Minimal Wear),21393,$0.03,Consumer Grade Sniper Rifle
AK-47 | Olive Polycam (Minimal Wear),20771,$0.23,Industrial Grade Rifle
MAG-7 | Wildwood (Field-Tested),20749,$0.08,Industrial Grade Shotgun
SCAR-20 | Contractor (Battle-Scarred),16271,$0.03,Consumer Grade Sniper Rifle
SSG 08 | Green Ceramic (Battle-Scarred),16243,$0.03,Consumer Grade Sniper Rifle
Five-SeveN | Midnight Paintover (Field-Tested),16135,$0.06,Industrial Grade Pistol
M4A1-S | Night Terror (Field-Tested),11866,$0.86,Restricted Rifle
Galil AR | Green Apple (Factory New),6984,$0.78,Industrial Grade Rifle
Dual Berettas | BorDeux (Minimal Wear),6965,$0.03,Consumer Grade Pistol
MP9 | Multi-Terrain (Battle-Scarred),6950,$0.03,Consumer Grade SMG
Nova | Dark Sigil (Field-Tested),6804,$0.08,Mil-Spec Grade Shotgun
FAMAS | Byproduct (Battle-Scarred),5281,$0.03,Consumer Grade Rifle
MP7 | Coral Paisley (Field-Tested),5252,$0.04,Industrial Grade SMG
MP5-SD | Dirt Drop (Well-Worn),5242,$0.03,Consumer Grade SMG
PP-Bizon | Wood Block Camo (Battle-Scarred),5177,$0.03,Consumer Grade SMG
SG 553 | Ol' Rusty (Field-Tested),4019,$0.09,Mil-Spec Grade Rifle
AK-47 | Wintergreen (Field-Tested),4013,$0.87,Mil-Spec Grade Rifle
USP-S | PC-GRN (Battle-Scarred),3299,$0.14,Mil-Spec Grade Pistol
XM1014 | Gum Wall Camo (Field-Tested),3298,$0.04,Industrial Grade Shotgun
PP-Bizon | Wood Block Camo (Factory New),3288,$0.06,Consumer Grade SMG
USP-S | Forest Leaves (Field-Tested),3284,$0.07,Industrial Grade Pistol
Tec-9 | Red Quartz (Minimal Wear),3278,$0.43,Restricted Pistol
Dual Berettas | Polished Malachite (Field-Tested),2817,$0.06,Industrial Grade Pistol
SSG 08 | Tiger Tear (Minimal Wear),2808,$0.10,Industrial Grade Sniper Rifle
P250 | Sleet (Factory New),2796,$0.08,Consumer Grade Pistol
P90 | Neoqueen (Field-Tested),2788,$0.50,Restricted SMG
P90 | Blue Tac (Factory New),2788,$0.06,Consumer Grade SMG
MP5-SD | Savannah Halftone (Well-Worn),2387,$0.07,Industrial Grade SMG
Tec-9 | Rebel (Field-Tested),2387,$0.10,Mil-Spec Grade Pistol
Desert Eagle | Heat Treated (Battle-Scarred),2381,$1.57,Classified Pistol
R8 Revolver | Bone Mask (Field-Tested),2369,$0.04,Consumer Grade Pistol
MP7 | Coral Paisley (Minimal Wear),2368,$0.15,Industrial Grade SMG
AUG | Commando Company (Well-Worn),2366,$0.03,Consumer Grade Rifle
USP-S | Silent Shot (Minimal Wear),2108,$0.96,Mil-Spec Grade Pistol
SSG 08 | Grey Smoke (Well-Worn),2100,$0.03,Consumer Grade Sniper Rifle
SG 553 | Cyberforce (Well-Worn),2098,$0.08,Mil-Spec Grade Rifle
Five-SeveN | Scrawl (Field-Tested),2085,$0.13,Mil-Spec Grade Pistol
M4A4 | Aeolian Dark (Minimal Wear),1882,$0.09,Industrial Grade Rifle
MP7 | Forest DDPAT (Field-Tested),1876,$0.05,Consumer Grade SMG
Negev | Drop Me (Well-Worn),1863,$0.09,Mil-Spec Grade Machinegun
AUG | Snake Pit (Field-Tested),1690,$0.06,Consumer Grade Rifle
Desert Eagle | Tilted (Well-Worn),1689,$0.18,Industrial Grade Pistol
AK-47 | Elite Build (Battle-Scarred),1688,$1.98,Mil-Spec Grade Rifle
MP9 | Buff Blue (Well-Worn),1686,$0.04,Consumer Grade SMG
P90 | Desert Halftone (Well-Worn),1682,$0.03,Consumer Grade SMG
Five-SeveN | Coolant (Well-Worn),1679,$0.04,Consumer Grade Pistol
R8 Revolver | Inlay (Field-Tested),1678,$0.08,Consumer Grade Pistol
Galil AR | Connexion (Field-Tested),1504,$0.51,Restricted Rifle
FAMAS | Colony (Well-Worn),1500,$0.04,Consumer Grade Rifle
Dual Berettas | Silver Pour (Well-Worn),1497,$0.03,Consumer Grade Pistol
XM1014 | Mockingbird (Battle-Scarred),1497,$0.08,Mil-Spec Grade Shotgun
Tec-9 | Banana Leaf (Minimal Wear),1368,$0.12,Industrial Grade Pistol
MAC-10 | Light Box (Minimal Wear),1368,$0.28,Mil-Spec Grade SMG
StatTrak™ Glock-18 | Winterized (Well-Worn),1365,$0.13,StatTrak™ Mil-Spec Grade Pistol
Five-SeveN | Flame Test (Field-Tested),1364,$0.21,Mil-Spec Grade Pistol
MAC-10 | Candy Apple (Factory New),1364,$0.60,Industrial Grade SMG
Glock-18 | Block-18 (Minimal Wear),1364,$1.32,Restricted Pistol
MAG-7 | Resupply (Battle-Scarred),1248,$0.08,Mil-Spec Grade Shotgun
StatTrak™ M4A4 | Poly Mag (Well-Worn),1245,$0.10,StatTrak™ Mil-Spec Grade Rifle
R8 Revolver | Crazy 8 (Field-Tested),1240,$0.62,Restricted Pistol
R8 Revolver | Banana Cannon (Battle-Scarred),1239,$0.51,Restricted Pistol
SG 553 | Basket Halftone (Factory New),1237,$0.26,Industrial Grade Rifle
CZ75-Auto | Copper Fiber (Minimal Wear),1234,$0.12,Industrial Grade Pistol
Nova | Turquoise Pour (Factory New),1158,$0.29,Industrial Grade Shotgun
USP-S | Ticket to Hell (Minimal Wear),1157,$1.27,Restricted Pistol
MAC-10 | Bronzer (Factory New),1155,$0.10,Consumer Grade SMG
M4A4 | Naval Shred Camo (Battle-Scarred),1154,$0.05,Industrial Grade Rifle
PP-Bizon | RMX (Battle-Scarred),1088,$0.10,Mil-Spec Grade SMG
Galil AR | Metallic Squeezer (Field-Tested),1087,$0.29,Mil-Spec Grade Rifle
USP-S | Ticket to Hell (Well-Worn),1086,$0.87,Restricted Pistol
M4A4 | Mainframe (Minimal Wear),1085,$0.12,Industrial Grade Rifle
Dual Berettas | Rose Nacre (Battle-Scarred),1085,$0.04,Industrial Grade Pistol
P2000 | Red Wing (Well-Worn),1022,$0.11,Mil-Spec Grade Pistol
USP-S | Flashback (Field-Tested),1021,$0.73,Restricted Pistol
P2000 | Red Wing (Minimal Wear),1019,$0.34,Mil-Spec Grade Pistol
MAG-7 | Foresight (Minimal Wear),1019,$0.19,Mil-Spec Grade Shotgun
M4A1-S | Electrum (Battle-Scarred),1019,$1.18,Restricted Rifle
G3SG1 | Dream Glade (Field-Tested),970,$0.92,Restricted Sniper Rifle
MP9 | Nexus (Field-Tested),970,$0.11,Mil-Spec Grade SMG
SG 553 | Ol' Rusty (Minimal Wear),967,$0.20,Mil-Spec Grade Rifle
M4A4 | Steel Work (Well-Worn),919,$0.05,Industrial Grade Rifle
UMP-45 | Arctic Wolf (Field-Tested),918,$0.53,Restricted SMG
P2000 | Amber Fade (Factory New),869,$4.48,Restricted Pistol
StatTrak™ SSG 08 | Mainframe 001 (Field-Tested),866,$0.13,StatTrak™ Mil-Spec Grade Sniper Rifle
Desert Eagle | Bronze Deco (Field-Tested),825,$0.36,Mil-Spec Grade Pistol
MAG-7 | Foresight (Factory New),825,$0.62,Mil-Spec Grade Shotgun
Glock-18 | Winterized (Minimal Wear),823,$0.25,Mil-Spec Grade Pistol
AK-47 | Emerald Pinstripe (Field-Tested),780,$3.22,Restricted Rifle
USP-S | Forest Leaves (Minimal Wear),779,$0.24,Industrial Grade Pistol
M4A4 | Tooth Fairy (Field-Tested),778,$4.84,Classified Rifle
Glock-18 | Candy Apple (Field-Tested),742,$1.50,Mil-Spec Grade Pistol
M4A1-S | Glitched Paint (Field-Tested),742,$2.21,Restricted Rifle
UMP-45 | Urban DDPAT (Minimal Wear),740,$0.07,Consumer Grade SMG
MP7 | Forest DDPAT (Minimal Wear),739,$0.08,Consumer Grade SMG
Desert Eagle | Serpent Strike (Factory New),709,$3.29,Restricted Pistol
Nova | Sand Dune (Well-Worn),707,$0.04,Consumer Grade Shotgun
AK-47 | Aphrodite (Well-Worn),707,$19.02,Covert Rifle
Negev | Bulkhead (Well-Worn),674,$0.06,Industrial Grade Machinegun
StatTrak™ M4A4 | Etch Lord (Field-Tested),674,$1.50,StatTrak™ Restricted Rifle
Sawed-Off | Snake Camo (Well-Worn),673,$0.05,Industrial Grade Shotgun
M4A1-S | Black Lotus (Factory New),672,$21.45,Classified Rifle
StatTrak™ SCAR-20 | Poultrygeist (Minimal Wear),672,$0.20,StatTrak™ Mil-Spec Grade Sniper Rifle
Glock-18 | Clear Polymer (Well-Worn),644,$0.31,Mil-Spec Grade Pistol
XM1014 | CaliCamo (Field-Tested),643,$0.15,Industrial Grade Shotgun
MAC-10 | Poplar Thicket (Minimal Wear),643,$0.38,Mil-Spec Grade SMG
AWP | Phobos (Minimal Wear),642,$3.37,Restricted Sniper Rifle
XM1014 | Entombed (Field-Tested),642,$4.86,Classified Shotgun
SG 553 | Ol' Rusty (Factory New),640,$0.60,Mil-Spec Grade Rifle
StatTrak™ P2000 | Lifted Spirits (Field-Tested),613,$0.12,StatTrak™ Mil-Spec Grade Pistol
P250 | Cyber Shell (Field-Tested),612,$0.57,Restricted Pistol
SCAR-20 | Poultrygeist (Battle-Scarred),611,$0.09,Mil-Spec Grade Sniper Rifle
StatTrak™ P90 | Freight (Field-Tested),611,$0.12,StatTrak™ Mil-Spec Grade SMG
MAG-7 | Monster Call (Well-Worn),581,$0.52,Restricted Shotgun
MAG-7 | MAGnitude (Battle-Scarred),556,$0.09,Mil-Spec Grade Shotgun
P250 | Bullfrog (Factory New),556,$1.29,Mil-Spec Grade Pistol
MAC-10 | Allure (Field-Tested),556,$0.64,Restricted SMG
Glock-18 | Umbral Rabbit (Minimal Wear),556,$1.15,Restricted Pistol
MP7 | Astrolabe (Battle-Scarred),555,$0.23,Industrial Grade SMG
MP7 | Sunbaked (Minimal Wear),555,$0.23,Consumer Grade SMG
G3SG1 | Jungle Dashed (Well-Worn),533,$0.04,Consumer Grade Sniper Rifle
G3SG1 | VariCamo (Factory New),533,$0.29,Industrial Grade Sniper Rifle
AWP | Acheron (Minimal Wear),533,$3.22,Mil-Spec Grade Sniper Rifle
FAMAS | Halftone Wash (Factory New),532,$1.39,Industrial Grade Rifle
Desert Eagle | Oxide Blaze (Factory New),532,$2.18,Mil-Spec Grade Pistol
PP-Bizon | Night Ops (Minimal Wear),531,$0.10,Industrial Grade SMG
M4A4 | Mainframe (Well-Worn),511,$0.06,Industrial Grade Rifle
StatTrak™ MAG-7 | Foresight (Field-Tested),510,$0.11,StatTrak™ Mil-Spec Grade Shotgun
SSG 08 | Calligrafaux (Factory New),510,$1.97,Industrial Grade Sniper Rifle
M4A1-S | Decimator (Field-Tested),510,$17.90,Classified Rifle
MP7 | Just Smile (Minimal Wear),510,$1.40,Restricted SMG
StatTrak™ UMP-45 | Roadblock (Field-Tested),493,$0.13,StatTrak™ Mil-Spec Grade SMG
SG 553 | Night Camo (Well-Worn),492,$0.04,Consumer Grade Rifle
MP5-SD | Co-Processor (Field-Tested),492,$0.28,Mil-Spec Grade SMG
P250 | Valence (Field-Tested),492,$0.43,Mil-Spec Grade Pistol
XM1014 | Blue Spruce (Well-Worn),471,$0.08,Consumer Grade Shotgun
AWP | Pit Viper (Well-Worn),471,$1.27,Restricted Sniper Rifle
MAC-10 | Allure (Battle-Scarred),471,$0.49,Restricted SMG
Sawed-Off | Fubar (Battle-Scarred),470,$0.39,Mil-Spec Grade Shotgun
Sawed-Off | Kiss♥Love (Field-Tested),470,$4.98,Classified Shotgun
StatTrak™ MP9 | Modest Threat (Field-Tested),470,$0.20,StatTrak™ Mil-Spec Grade SMG
Galil AR | Connexion (Battle-Scarred),470,$0.50,Restricted Rifle
StatTrak™ Glock-18 | Off World (Well-Worn),453,$0.55,StatTrak™ Mil-Spec Grade Pistol
AK-47 | The Outsiders (Field-Tested),453,$9.54,Classified Rifle
AWP | Atheris (Minimal Wear),452,$11.06,Restricted Sniper Rifle
MAC-10 | Calf Skin (Factory New),452,$1.15,Industrial Grade SMG
Five-SeveN | Fraise Crane (Field-Tested),452,$0.37,Mil-Spec Grade Pistol
USP-S | Jawbreaker (Battle-Scarred),452,$4.20,Classified Pistol
SG 553 | Dragon Tech (Minimal Wear),435,$1.03,Restricted Rifle
